;line;order;counter_start;counter_end;shift;puco_code;sheets;date_stop;status;minutes
121;LZ-01;10182;1553;124217;2;OPS10;0;2021-03-21 02:22:29;STOP;0 days 01:07:32
122;LZ-01;10182;1553;124217;2;RUN;0;2021-03-21 02:22:36;RUN;0 days 00:00:07
123;LZ-01;10182;1553;124217;2;OPS10;0;2021-03-21 03:04:20;STOP;0 days 00:41:44
124;LZ-01;10182;1557;124240;2;RUN;23;2021-03-21 03:05:55;RUN;0 days 00:01:35
125;LZ-01;10182;1557;124240;2;OGE04;0;2021-03-21 03:07:32;STOP;0 days 00:01:37
126;LZ-01;10182;1731;136342;2;RUN;12102;2021-03-21 03:36:29;RUN;0 days 00:28:57
127;LZ-01;10182;1731;136342;2;OGE04;0;2021-03-21 03:37:12;STOP;0 days 00:00:43
128;LZ-01;10182;1849;145693;2;RUN;9351;2021-03-21 03:57:39;RUN;0 days 00:20:27
129;LZ-01;10182;1849;145693;2;OGE04;0;2021-03-21 03:58:20;STOP;0 days 00:00:41
130;LZ-01;10182;1936;152541;2;RUN;6848;2021-03-21 04:13:22;RUN;0 days 00:15:02
131;LZ-01;10182;1936;152541;2;OGE04;0;2021-03-21 04:14:14;STOP;0 days 00:00:52
132;LZ-01;10182;2077;164468;2;RUN;11927;2021-03-21 04:39:26;RUN;0 days 00:25:12
133;LZ-01;10182;2077;164468;2;OGE04;0;2021-03-21 04:41:38;STOP;0 days 00:02:12
134;LZ-01;10182;2433;193319;2;RUN;28851;2021-03-21 05:43:24;RUN;0 days 01:01:46
135;LZ-01;10182;2433;193319;2;OGE04;0;2021-03-21 05:46:58;STOP;0 days 00:03:34
136;LZ-01;10182;2439;193878;2;RUN;559;2021-03-21 05:48:13;RUN;0 days 00:01:15
137;LZ-01;10182;2439;193878;2;OGE04;0;2021-03-21 05:48:44;STOP;0 days 00:00:31
138;LZ-01;10182;2601;207706;2;RUN;13828;2021-03-21 06:16:43;RUN;0 days 00:27:59
139;LZ-01;10182;2601;207706;2;OGE04;0;2021-03-21 06:23:28;STOP;0 days 00:06:45
140;LZ-01;10182;2601;207763;2;RUN;57;2021-03-21 06:23:39;RUN;0 days 00:00:11
141;LZ-01;10182;2601;207763;2;OGE04;0;2021-03-21 06:32:49;STOP;0 days 00:09:10
142;LZ-01;10182;2622;207807;2;RUN;44;2021-03-21 06:36:12;RUN;0 days 00:03:23
